DateTime,AddedIPs,RemovedIPs
1579247052,1,0
1579248981,0,1
1579264832,0,1
1579268659,0,1
1579274415,0,2
1579282126,1,0
1579296757,1,0
1579306578,1,0
1579314253,0,1
1579325051,0,1
1579333715,0,1
1579347625,1,0
1579351462,1,0
1579366895,1,0
1579368768,0,1
1579370707,1,0
1579378585,1,0
1579384580,0,1
1579393471,0,1
1579409323,1,0
1579415072,1,0
1579418898,1,0
1579428762,1,0
1579434535,0,1
1579436414,0,1
1579444099,1,0
1579452022,0,1
1579457791,1,1
1579463558,0,1
1579486827,2,0
1579494489,0,1
1579500519,0,1
1579504598,0,1
1579514184,0,1
1579531455,0,1
1579542974,0,1
1579564132,1,0
1579569884,1,0
1579573695,0,2
1579576606,1,0
1579588090,1,0
1579629371,1,0
1579650015,0,1
1579655797,0,1
1579661538,0,1
1579675213,0,1
1579713135,1,0
1579715085,0,1
1579719136,1,0
1579721051,1,0
1579726888,1,0
1579751792,1,0
1579757562,1,0
1579760429,1,0
1579770973,1,0
1579778717,1,0
1579798993,0,1
1579804813,0,1
1579807014,0,1
1579814656,0,1
1579818490,1,0
1579821616,1,0
1579837932,0,1
1579841787,1,0
1579846572,0,2
1579848498,1,0
1579856169,0,1
1579864816,0,1
1579876338,1,0
1579894090,1,0
1579902735,1,0
1579904715,0,1
1579906616,0,1
1579932076,0,1
1579937783,0,1
1579947412,1,0
1579949306,1,0
1579955066,1,0
1579958904,1,0
1579962007,0,1
1579967769,1,0
1579975715,1,0
1579981464,0,1
1579989129,0,1
1579991060,1,0
1580004745,1,0
1580016266,1,0
1580033773,1,1
1580035732,1,1
1580041462,1,1
1580045288,0,1
1580048179,1,0
1580052010,1,0
1580053941,0,1
1580062828,0,1
1580077226,1,1
1580090918,0,1
1580102430,0,1
1580122337,0,2
1580126201,0,1
1580134828,0,1
1580138654,0,1
1580140588,1,0
1580149449,1,0
1580158101,1,0
1580163848,0,1
1580165767,1,0
1580177532,1,0
1580185206,1,0
1580189061,1,0
1580200810,1,0
1580206574,1,0
1580216170,1,0
1580218088,1,0
1580224125,2,0
1580227930,0,1
1580229862,1,0
1580234187,0,1
1580243768,0,1
1580249536,1,0
1580251463,0,1
