DateTime,AddedIPs,RemovedIPs
1580591138,3,2
1580594738,1,1
1580598337,2,2
1580601939,0,1
1580605537,1,0
1580612736,0,1
1580616342,2,0
1580619952,28,0
1580623551,1,1
1580627153,1,0
1580637958,1,0
1580648749,0,4
1580655948,0,2
1580663145,0,1
1580666745,1,1
1580670345,3,1
1580673953,4,0
1580677551,2,0
1580681153,1,0
1580684756,4,0
1580691956,0,1
1580695555,0,1
1580699156,1,0
1580702759,1,2
1580706372,25,3
1580709966,0,2
1580713562,0,3
1580717165,0,1
1580720764,1,0
1580727961,0,1
1580735162,1,0
1580742360,1,1
1580745966,21,1
1580749565,4,1
1580753168,3,1
1580756768,2,0
1580760372,4,1
1580763969,1,3
1580767570,2,1
1580771169,0,1
1580774770,1,2
1580778367,1,1
1580781968,0,1
1580785568,0,1
1580789164,0,1
1580792769,2,1
1580799976,21,3
1580810775,1,0
1580814374,0,1
1580817972,0,1
1580821575,1,0
1580825173,1,1
1580828775,2,0
1580832374,0,1
1580835976,0,2
1580843172,0,2
1580846756,0,30
1580850356,0,7
1580853959,1,0
1580861156,3,2
1580864757,1,0
1580868355,0,1
1580875555,0,2
1580879155,0,2
1580882753,1,1
1580886353,0,1
1580893553,0,2
1580897153,2,1
1580900750,0,2
1580904347,1,3
1580907948,1,2
1580911547,1,2
1580918739,1,19
1580922335,0,8
1580925929,24,1
1580929521,0,2
1580933122,14,0
1580936728,17,1
1580940324,0,2
1580943925,0,1
1580947523,1,1
1580951157,3,0
1580958358,1,0
1580961967,5,2
1580965569,1,0
1580969204,3,1
1580972766,2,27
1580976365,1,1
1580979970,5,0
1580983571,4,1
1580990773,5,3
1580994381,5,0
1580997984,2,0
1581001581,2,3
1581005182,3,1
1581008784,2,0
1581012392,20,2
1581015989,1,3
1581019592,3,3
1581023189,1,3
1581026789,3,4
1581030391,3,3
1581033987,0,4
1581037590,3,2
1581041190,0,2
1581044786,1,3
1581048389,1,1
1581051988,2,3
1581055589,2,1
1581059185,0,2
1581062790,3,3
1581066388,0,1
1581069992,1,2
1581073611,0,1
1581077430,2,0
1581084394,5,6
1581087993,2,1
1581091595,2,1
1581095203,1,1
1581098801,2,2
1581102399,1,2
1581106001,0,1
1581109604,2,1
1581113206,2,0
1581116811,3,2
1581120413,2,2
1581124010,1,7
1581127614,1,1
1581131211,0,1
1581134808,3,3
1581138408,2,3
1581142005,3,8
1581145603,0,2
1581149214,15,4
1581152813,2,1
1581156413,1,0
1581160013,0,1
1581163619,7,1
