DateTime,Entries,UniqueIPs
1574243788,14067,14067
1574254548,14008,14008
1574265334,13986,13986
1574276138,13968,13968
1574287000,14026,14026
1574297971,14225,14225
1574312627,14334,14334
1574326898,14403,14403
1574341370,14498,14498
1574355916,14532,14532
1574370226,14578,14578
1574384653,14612,14612
1574399205,14620,14620
1574413426,14637,14637
1574427814,14629,14629
1574442345,14621,14621
1574456607,14623,14623
1574471073,14705,14705
1574485721,14828,14828
1574499974,14837,14837
1574514406,14895,14895
1574528947,14948,14948
1574543333,14899,14899
1574557747,15125,15125
1574572385,15248,15248
1574586708,15358,15358
1574601155,15462,15462
1574615528,15452,15452
1574630099,15492,15492
1574644413,15543,15543
1574658861,15586,15586
1574673500,15751,15751
1574687928,15775,15775
1574702372,15808,15808
1574716768,15807,15807
1574731128,15733,15733
1574745562,15763,15763
1574759960,15803,15803
1574774335,15789,15789
1574788727,15776,15776
1574803085,15742,15742
1574817501,15724,15724
1574831875,15682,15682
1574846258,15688,15688
1574860655,15676,15676
1574875054,15696,15696
1574889444,15663,15663
1574903799,15595,15595
1574918131,15548,15548
1574932500,15501,15501
1574947125,15808,15808
1574961567,15858,15858
1574976037,15944,15944
1574990534,16096,16096
1575005007,16204,16204
1575019487,16314,16314
1575033934,16356,16356
1575048321,16375,16375
1575062796,16396,16396
1575077224,16457,16457
1575091646,16463,16463
1575106000,16480,16480
1575120419,16442,16442
1575134768,16365,16365
1575149105,16302,16302
1575163406,16156,16156
1575177861,16202,16202
1575192260,16234,16234
1575206784,16427,16427
1575221275,16516,16516
1575235691,16560,16560
1575250252,16796,16796
1575264706,16834,16834
1575279162,16923,16923
1575293636,17014,17014
1575308097,17100,17100
1575322588,17238,17238
1575337111,17376,17376
1575351612,17495,17495
1575366016,17492,17492
1575380468,17567,17567
1575395079,17819,17819
1575409561,17924,17924
1575424089,17992,17992
1575438547,18099,18099
1575452927,18110,18110
1575467395,18199,18199
1575481817,18221,18221
1575496404,18427,18427
1575510842,18449,18449
1575525280,18469,18469
1575539703,18496,18496
1575553927,18279,18279
1575568248,18179,18179
1575582708,18215,18215
1575597069,18173,18173
1575611491,18152,18152
1575625819,18077,18077
1575640094,17918,17918
1575654376,17766,17766
1575668807,17798,17798
1575683328,17907,17907
1575697772,17952,17952
1575712165,17975,17975
1575726619,18003,18003
1575740999,18053,18053
1575755445,18118,18118
1575770636,19059,19059
1575788859,19492,19492
1575807090,19756,19756
1575825194,19880,19880
1575843413,19985,19985
1575861346,20030,20030
1575879425,20108,20108
1575897357,20052,20052
1575915486,20028,20028
1575933477,19997,19997
1575951530,20037,20037
1575969443,19969,19969
1575987387,19921,19921
1576005091,19737,19737
1576023037,19672,19672
1576041052,19670,19670
1576059162,19648,19648
1576076951,19591,19591
1576095115,19776,19776
1576114548,19831,19831
1576131238,19854,19854
1576149293,19822,19822
1576167237,19901,19901
1576185284,19993,19993
1576203305,20005,20005
1576221451,20015,20015
1576239305,19995,19995
1576257285,19954,19954
1576275269,19977,19977
1576293456,19983,19983
1576311517,20232,20232
1576329756,20539,20539
1576347736,20532,20532
1576365701,20471,20471
1576383622,20375,20375
1576401578,20250,20250
1576419359,20129,20129
1576437282,20007,20007
1576455248,19912,19912
1576473486,19802,19802
1576491067,19639,19639
1576508919,19504,19504
1576526785,19326,19326
1576544787,19283,19283
1576562936,19304,19304
1576580824,19337,19337
1576598786,19250,19250
1576616815,19241,19241
1576634960,19214,19214
1576652792,19156,19156
1576670640,19030,19030
1576688710,19090,19090
1576706539,18721,18721
1576724423,18747,18747
1576742440,18789,18789
1576760443,18807,18807
1576778521,18760,18760
1576796323,18655,18655
1576814296,18580,18580
1576833382,18557,18557
1576850479,18613,18613
1576868506,18812,18812
1576886432,18732,18732
1576904417,18715,18715
1576922361,18464,18464
1576939973,18118,18118
1576954360,18115,18115
1576968710,18075,18075
1576983138,18083,18083
1576997656,18216,18216
1577012067,18231,18231
1577026456,18226,18226
1577040816,18187,18187
1577055238,18210,18210
1577069647,18183,18183
1577084020,18146,18146
1577098383,18100,18100
1577112716,18019,18019
1577127082,17971,17971
1577141386,17889,17889
1577156120,18359,18359
1577170768,18693,18693
1577188953,18936,18936
1577207064,19075,19075
1577225396,19336,19336
1577243300,19377,19377
1577261331,19464,19464
1577279324,19477,19477
1577297345,19342,19342
1577315365,19470,19470
1577333331,19354,19354
1577351220,19219,19219
1577369294,19152,19152
1577387215,19211,19211
1577405230,19226,19226
1577423288,19305,19305
1577441387,19300,19300
1577459108,19102,19102
1577476976,18932,18932
1577495142,19052,19052
1577513210,18990,18990
1577531150,19042,19042
1577549172,19033,19033
1577567177,19025,19025
1577585345,19066,19066
1577603093,18909,18909
1577621058,18869,18869
1577639025,18839,18839
1577657164,18807,18807
1577674974,18767,18767
1577692892,18716,18716
1577710739,18550,18550
1577728700,18343,18343
1577746503,18195,18195
1577760818,18110,18110
1577775107,17969,17969
1577789426,17852,17852
1577803736,17756,17756
1577818123,17701,17701
1577832451,17623,17623
1577846804,17559,17559
1577861104,17446,17446
1577875506,17428,17428
1577889908,17427,17427
1577904310,17421,17421
1577918665,17365,17365
1577933146,17495,17495
1577947753,17766,17766
1577962245,17851,17851
1577976598,17785,17785
1577990944,17721,17721
1578005338,17696,17696
1578019746,17690,17690
1578034092,17639,17639
1578048475,17614,17614
1578062787,17499,17499
1578077183,17538,17538
1578091571,17565,17565
1578105926,17573,17573
1578120358,17632,17632
1578134761,17656,17656
1578149168,17668,17668
1578163657,17739,17739
1578178092,17767,17767
1578192673,17916,17916
1578207119,17988,17988
